"cuenta";"descripcion";"cuentaesp"
"2123";"COMPANIAS AFILIADAS Y RELACIONADAS";""
"2124";"OTRAS CUETNAS POR PAGAR";""
"212400002";"TARJETA DE CREDITO X";""
"212400005";"OTRAS CUENTAS POR PAGAR";""
"213";"ACREEDORES DIVERSOS";""
"2131";"CUENTAS POR PAGAR ACCIONISTAS";""
"213100001";"CUENTAS POR PAGAR SOCIOS";""
"2132";"ACREEDORES DIVERSOS NACIONAL";"ACREED"
"2133";"ACREEDORES DIVERSOS EXTERIOR";""
"215";"DIVIDENDO POR PAGAR";""
"2151";"DIVIDENDO POR PAGAR";""
"215100001";"DIVIDENDO POR PAGAR VIGENTES";""
"215100002";"DIVDENDO POR COBRAR NO COBRADOS";""
"216";"ACUMULACIONES LABORALES";""
"2161";"APORTES EMPLEADOS";""
"216100005";"FONDO FIDEICOMISO";""
"216100006";"FONDO DE AHORRO";""
"216100007";"APORTES EMPLEADOS";""
"217";"GASTOS ACUMULADOS Y RETENCIONES POR PAGAR";""
"2171";"CONTRIBUCIONES PATRONAL";""
"217100001";"APORTE EMPRESA";""
"2172";"RETENCIONES E IMPUESTOS POR PAGAR";""
"217200001";"RETENCIONES ISR EMPLEADOS";""
"217200002";"RETENCIONES ISR PROVEEDORES";""
"217200003";"IVA DEBITO FISCAL";""
"2173";"RETENCIONES VARIAS";""
"217300001";"EMBARGO DE SUELDO";""
"217300002";"PRESTAMOS SOBRE FIDEICOMISO";""
"217300003";"SINDICATOS";""
"2175";"OTRAS ACUMULACIONES";""
"217500001";"VACACIONES";""
"217500002";"UTILIDADES";""
"217500003";"PRESTACIONES SOCIALES";""
"217500004";"INTERESES S/PRESTACIONES SOCIALES";""
"217500005";"BONIFICACION ACCIDENTAL UNICA";""
"217500006";"PRIMA POR EFECIENCIA";""
"217500008";"POLIZA DE SEGURO POR PAGAR";""
"217500009";"PUBLICIDAD Y PROPAGANDA";""
"217500010";"COMISIONES";""
"217500011";"ALQUILERES";""
"217500012";"TARJETA CORPORATIVA";""
"217500013";"CONDOMINIOS";""
"217500014";"IMPUESTOS MUNICIPALES POR PAGAR";""
"217500015";"CONVESION DE COMERCIALIZACION";""
"217500017";"NOMINA POR PAGAR";""
"217500018";"IMPUESTOS POR PAGAR";""
"217500019";"PROGRAMA DE ALIMENTACION";""
"217500020";"ADELANTO DE CLIENTES";""
"217500021";"PATENTE INDUSTRIA Y COMERCIO";""
"218";"RESERVAS";""
"2181";"RESERVAS";""
"218100001";"RESERVAS OPERATIVAS";""
"218100002";"RESERVAS FINANCIERAS";""
"218100003";"RESERVAS FISCALES";""
"219";"IMPUESTOS SOBRE LA RENTA POR PAGAR";""
"2191";"ISR ACUMULADOS GASTOS";""
"219100001";"ISR ACUMULADOS GASTOS";""
"219100002";"DECLARACION ESTIMADAS";""
"219100003";"RAR AJUSTE INICIAL POR INFLACION";""
"22";"OTROS PASIVOS A CORTO PLAZO";""
"220";"OTROS PASIVOS A CORTO PLAZO";""
"2201";"IMPUESTOS POR PAGAR";""
"220100111";"PASIVOS A CORTO PLAZO";""
"220100112";"4% IVA RETENIDO FLETES";""
"220100113";"ISR RETENIDO SALARIOS";""
"220100114";"ISR RETENIDO ASIMILABLES";""
"220100115";"10% ISR RETENIDO HONORARIOS";""
"220100116";"10% ISR RETENIDO ARRENDAMIENTO";""
"220100117";"10.67% IVA RETENIDO ARRENDAMIENTO";""
"220100118";"10.67% IVA RETENIDO HONORARIOS";""
"220100119";"1% DE RET CEDULAR ARRENDAMIETOS (GUANAJUATO)";""
"2202";"IVA TRASLADADO";"IVAREP"
"220200113";"IVA POR TRASLADAR";""
"220200114";"IVA EFECTIVAMENTE COBRADO";""
"25";"PASIVO A LARGO PLAZO";""
"251";"PASIVOS FINANCIEROS A LARGO PLAZO";""
"2511";"PASIVOS FINANCIEROS A LARGO PLAZO";""
"251100001";"PASIVOS FINANCIEROS A LARGO PLAZO";""
"252";"ACUMULACIONES PARA INDEMNIZ. LABORALES";""
"2521";"ACUMULACIONES PARA INDEMNIZ.LABORALES";""
"252100001";"INDEMNIZACIONES SENCILLAS";""
"252100002";"INDEMNIZACIONES DOBLES";""
"258";"PASIVOS INTERCOMPANIAS";""
"2581";"PASIVOS INTERCOMPANIAS";""
"258100001";"PASIVOS INTERCOMPANIAS";""
"259";"OTROS PASIVOS A LARGO PLAZO";""
"2591";"OTROS PASIVOS A LARGO PLAZO";""
"259100001";"OTROS PASIVOS A LARGO PLAZO";""
"3";"CAPITAL";""
"31";"CAPITAL SOCIAL";""
"311";"CAPITAL SOCIAL PAGADO";""
"3111";"CAPITAL SOCIAL PAGADO";""
"311100001";"CAPITAL SOCIAL";""
"311100002";"ACTUALIZACION DEL VALOR";""
"313";"ACCIONES EN TESORERIA";""
"3131";"ACCIONES EN TESORERIA";""
"313100001";"ACCIONES EN TESORERIA";""
"313100002";"ACTUALIZACION DE VALOR";""
"32";"SUPERAVIT";""
"321";"SUPERAVIT GANADO";""
"3211";"SUPERAVIT OPERATIVO";""
"321100001";"UTILIDADES NO DISTRIBUIDAS";""
"321100002";"UTILIDADES DEL EJERCICIO";""
"3212";"RESULTADO POR EXPOS. A LA INFLACION";""
"321200003";"REAJUSTE POR INFLACION";""
"321200004";"ACTUALIZACION DEL PATRIMONIO";""
"321200005";"EXCLUSIONES FISCALES";""
"322";"RESULT.POR TENDENCIA DE ACTIVO NO MONETARIOS";""
"3221";"RESULT.POR TENDENCIA DE ACTIVO NO MONETARIOS";""
"33";"RESERVA DE CAPITAL";""
"331";"RESERVA LEGAL";""
"3311";"RESERVA LEGAL";""
"331100001";"VALOR ORIGINAL RESERVA LEGAL";""
"331100002";"RESERVA P/FUTURO AUMENTO DE CAPITAL";""
"339";"OTRAS RESERVAS";""
"3391";"OTRAS RESERVAS";""
"339100001";"VALOR ORIGINAL";""
"339100002";"ACTUALIZACION DEL VALOR";""
"39";"GANANCIAS Y PERDIDAS";""
"391";"GANACIAS Y PERDIDAS";""
"3911";"GANACIAS Y PERDIDAS";"PYG"
"391100001";"PERDIDA DEL EJERCICIO";""
"391100002";"UTILIDAD DEL EJERCICIO";""
"4";"CUENTAS DE ORDEN";""
"41";"CUENTAS DE ORDEN";""
"411";"CUENTAS DE ORDEN DEUDORAS";""
"4111";"CUENTAS DE ORDEN DEUDORAS";""
"411100001";"CARTAS DE CREDITOS";""
"411100002";"MERCANCIAS EN CONSIGNACION";""
"411100003";"MERCANCIAS COMPRADAS EN TRANSITO";""
"45";"CUENTAS DE ORDEN ACREEDORAS";""
"451";"CUENTAS DE ORDEN ACREEDORAS";""
"4511";"CUENTAS DE ORDEN ACREEDORAS";""
"451100002";"MERCANCIA EN CONSIGNACION P. COMPRA";""
"451100003";"MERCANCIA VENDIDAS EN TRANSITO";""
"5";"INGRESOS";""
"51";"INGRESOS OPERACIONALES";""
"511";"INGRESOS OPERACIONALES";""
"5111";"VENTAS";"VENTAS"
"511100001";"VENTAS NACIONALES";""
"511100002";"VENTAS NACIONALES AL DETAL";""
"511100003";"VENTAS EXPORTACION";""
"511100004";"VENTAS INMUEBLES";""
"5112";"INGRESOS POR SERVICIOS";""
"511200001";"INGRESOS POR SERVICIOS";""
"5114";"DESCUENTOS Y DEVOLUCION EN VENTAS";"DEVVEN"
"511400001";"DESCUENTOS EN VENTAS";""
"511400002";"DEVOLUCIONES EN VENTAS";""
"6";"COSTO";""
"61";"COSTO DE VENTAS";""
"611";"COSTO DE VENTAS";""
"6111";"COSTO DE VENTAS";""
"611100001";"COSTO DE VENTAS";""
"62";"COMPRAS";""
"621";"COMPRAS NACIONALES";""
"6211";"COMPRAS NACIONALES";"COMPRA"
"621100001";"COMPRAS NACIONALES";""
"622";"COMPRAS DE IMPORTACION";""
"6221";"COMPRAS DE IMPORTACION";""
"7";"GASTOS";""
"71";"GASTOS OPERATIVOS";""
"711";"GASTOS COMERCIALIZACION";""
"7111";"GASTOS DE DISTRIBUCION";""
"711100001";"DISTRIBUCION Y REPARTO LOCALES";""
"711100002";"PROMOCIONES";""
"711100003";"ACTIVIDADES REGIONALES";""
"711100004";"EVENTOS ESPECIALES";""
"711100005";"MATERIALES PROMOCIONALES";""
"711100006";"PUBLICIDAD";""
"711100007";"MEDIOS";""
"711100008";"PRODUCCION MATERIAL P.O.P.";""
"711100009";"CUENTAS INCOBRABLES NACIONALES";""
"711100010";"TRANSPORTE Y FLETES";""
"711100011";"PATENTE INDUSTRIA Y COMERCIO";""
"713";"GASTOS DE PERSONAL";""
"7131";"GASTOS PERSONAL";""
"713100001";"SUELDOS EMPLEADOS";""
"713100002";"SUELDOS DIRECTIVOS";""
"713100003";"HORAS EXTRAS";""
"713100004";"HORAS EXTRAORDINARIAS";""
"713100005";"COMISION AL PERSONAL";""
"713100006";"TRANSPORTE Y ALIMENTACION";""
"713100007";"PROGRAMA DE ALIMENTACION EMPLEADOS";""
"713100008";"BENEFICIOS UNIFORMES";""
"713100009";"BENEFICIOS COMEDOR";""
"713100010";"BENEFICIOS SERVICIOS MEDICOS";""
"713100011";"BENEFICIOS AYUDAS ESCOLARES";""
"713100012";"BENEFICIOS ADIESTRAMIENTOS-CURSOS";""
"713100013";"BENEFICIOS BECAS";""
"713100016";"PRESTACIONES SOCIALES";""
"713100017";"INTERESES S/PRESTACIONES SOCIALES";""
"713100018";"UTILIDADES";""
"713100019";"VACACIONES";""
"713100020";"BONO VACACIONAL";""
"713100021";"CONTRIBUCIONES";""
"713100025";"BONIFICACION UNICA ESPECIAL";""
"713100030";"VIATICOS Y GASTOS DE REPRESENTACION";""
"713100031";"HONORARIOS POR PARTIPACION JUNTA DIRECTIVA";""
"713100033";"PRIMA POR RENDIMIENTO";""
"713100035";"GASTOS PERSONAL CONTRATADO";""
"713100036";"GASTOS PERSONAL TRANSFERIDOSR";""
"715";"GASTOS GENERALES";""
"7151";"GASTOS GENERALES";""
"715100001";"SUMINISTROS DE EQUIPOS DE OFICINA";""
"715100002";"REPARACIONES";""
"715100003";"MANTENIMIENTOS";""
"715100004";"MANTENIMIENTO DE VEHICULOS";""
"715100005";"ARTICULOS DE OFICINA";""
"715100006";"UTILES DE LIMPIEZA";""
"715100007";"HONORARIOS PROFESIONALES";""
"715100009";"SERVICIOS PUBLICOS";""
"715100010";"ENERGIA ELECTRICA";""
"715100012";"TELEFONOS Y TELECOMUNICACIONES";""
"715100013";"AGUA POTABLE Y REFRIGERIO";""
