"ciudad";"idprovincia";"codeid";"latitude";"longitude"
"Villa Altagracia";"532";"";"18.6667";"-70.1333"
"Yaguate";"532";"";"18.4500";"-70.1500"
"Rancho Arriba";"533";"";"18.7000";"-70.7500"
"Sabana Larga";"533";"";"18.5500";"-70.6500"
"San José de Ocoa";"533";"";"18.5333";"-70.5000"
"Bohechío";"534";"";"18.9500";"-70.6667"
"El Cercado";"534";"";"18.5000";"-71.4167"
"Juan de Herrera";"534";"";"18.5000";"-71.2500"
"Las Matas de Farfán";"534";"";"18.8750";"-71.2500"
"San Juan de la Maguana";"534";"";"18.8050";"-71.2297"
"Vallejuelo";"534";"";"18.6670";"-70.9204"
"Consuelo";"535";"";"18.3722";"-69.2283"
"Guayacanes";"535";"";"18.4170";"-69.1723"
"Quisqueya";"535";"";"18.5313";"-69.7840"
"Ramón Santana";"535";"";"18.6146";"-69.7444"
"San José de Los Llanos";"535";"";"19.0371";"-70.0288"
"San Pedro de Macorís";"535";"";"18.4534";"-69.3045"
"Bisonó";"536";"";"19.3798";"-70.4000"
"Jánico";"536";"";"19.3750";"-70.5833"
"Licey al Medio";"536";"";"19.4667";"-70.6500"
"Puñal";"536";"";"19.3167";"-70.7000"
"Sabana Iglesia";"536";"";"19.3750";"-70.6667"
"San José de las Matas";"536";"";"19.6500";"-70.8667"
"Santiago";"536";"";"19.4500";"-70.7000"
"Tamboril";"536";"";"19.4833";"-70.6667"
"Villa González";"536";"";"19.5167";"-70.7000"
"Los Almácigos";"537";"";"19.5833";"-71.1833"
"Monción";"537";"";"19.4667";"-71.1333"
"San Ignacio de Sabaneta";"537";"";"19.5000";"-71.3333"
"Boca Chica";"538";"";"18.4480";"-69.6073"
"Los Alcarrizos";"538";"";"18.5022";"-70.0131"
"Pedro Brand";"538";"";"18.4636";"-70.0539"
"San Antonio de Guerra";"538";"";"18.5667";"-69.6333"
"Santo Domingo Este";"538";"";"18.4883";"-69.8575"
"Santo Domingo Norte";"538";"";"18.5447";"-69.8333"
"Santo Domingo Oeste";"538";"";"18.4861";"-70.0022"
"Esperanza";"539";"";"19.5833";"-71.2500"
"Laguna Salada";"539";"";"19.6667";"-71.0833"
"Mao";"539";"";"19.5514";"-71.0789"
