"name";"enabled";"subject";"body"
"sendmail-AlbaranCliente";true;"Your delivery note {code}";"Dear {name}, please find attached your delivery note {code} dated {date}. Best regards."
"sendmail-FacturaCliente";true;"Your invoice {code}";"Dear {name}, please find attached your invoice {code} dated {date}. Best regards."
"sendmail-PedidoCliente";true;"Your order {code}";"Dear {name}, please find attached your order {code} dated {date}. Best regards."
"sendmail-PresupuestoCliente";true;"Your quote {code}";"Dear {name}, please find attached your quote {code} dated {date}. Best regards."
"sendmail-AlbaranProveedor";true;"Your delivery note {code}";"Dear {name}, please find attached your delivery note {code} dated {date}. Best regards."
"sendmail-FacturaProveedor";true;"Your invoice {code}";"Dear {name}, please find attached your invoice {code} dated {date}. Best regards."
"sendmail-PedidoProveedor";true;"Your order {code}";"Dear {name}, please find attached your order {code} dated {date}. Best regards."
"sendmail-PresupuestoProveedor";true;"Your quote {code}";"Dear {name}, please find attached your quote {code} dated {date}. Best regards."
